annee,code,valeur,source
2018,SP.POP.0014.TO.ZS,41.338892959775,Banque mondiale
2019,SP.POP.0014.TO.ZS,40.8595094154888,Banque mondiale
2020,SP.POP.0014.TO.ZS,40.3310678021691,Banque mondiale
2021,SP.POP.0014.TO.ZS,39.7622761897608,Banque mondiale
2022,SP.POP.0014.TO.ZS,39.1603034665879,Banque mondiale
2023,SP.POP.0014.TO.ZS,38.6295981592884,Banque mondiale
2024,SP.POP.0014.TO.ZS,38.1823663294065,Banque mondiale
1960,SP.POP.1564.TO.ZS,53.0106495032636,Banque mondiale
1961,SP.POP.1564.TO.ZS,52.9488487141246,Banque mondiale
1962,SP.POP.1564.TO.ZS,52.9360524617954,Banque mondiale
1963,SP.POP.1564.TO.ZS,52.925505032968,Banque mondiale
1964,SP.POP.1564.TO.ZS,52.9149502791779,Banque mondiale
1965,SP.POP.1564.TO.ZS,52.9274988648726,Banque mondiale
1966,SP.POP.1564.TO.ZS,52.9628567370927,Banque mondiale
1967,SP.POP.1564.TO.ZS,53.0084821505092,Banque mondiale
1968,SP.POP.1564.TO.ZS,53.0569477164765,Banque mondiale
1969,SP.POP.1564.TO.ZS,53.0979831825962,Banque mondiale
1970,SP.POP.1564.TO.ZS,53.1236009898513,Banque mondiale
1971,SP.POP.1564.TO.ZS,53.1286995878192,Banque mondiale
1972,SP.POP.1564.TO.ZS,53.1068268605072,Banque mondiale
1973,SP.POP.1564.TO.ZS,53.0530652859193,Banque mondiale
1974,SP.POP.1564.TO.ZS,52.9483618146524,Banque mondiale
1975,SP.POP.1564.TO.ZS,52.7614048862751,Banque mondiale
1976,SP.POP.1564.TO.ZS,52.4838216590986,Banque mondiale
1977,SP.POP.1564.TO.ZS,52.1069209965753,Banque mondiale
1978,SP.POP.1564.TO.ZS,51.6787289875454,Banque mondiale
1979,SP.POP.1564.TO.ZS,51.2729018571183,Banque mondiale
1980,SP.POP.1564.TO.ZS,50.9071379377238,Banque mondiale
1981,SP.POP.1564.TO.ZS,50.5885660388779,Banque mondiale
1982,SP.POP.1564.TO.ZS,50.3219201810763,Banque mondiale
1983,SP.POP.1564.TO.ZS,50.1048936011425,Banque mondiale
1984,SP.POP.1564.TO.ZS,49.9383516555121,Banque mondiale
1985,SP.POP.1564.TO.ZS,49.8439203526588,Banque mondiale
1986,SP.POP.1564.TO.ZS,49.8406994163583,Banque mondiale
